 180   0 2 0 3 0-3-1 0 0 0 2 .00000 .00000 .00000      .00000 .000020  .000000
 181  92 2 0 3 0-3 0 0 0 0 0 .00054 .00054 .00054      .00054 .000543  .000000
   0  93 2 0 3 0-3 1-1 0 0 2 .00009 .00009 .00009      .00000                   ?????
 182   0 2 0 3 0-3 1 0 0 0 2 .00000 .00000 .00000      .00000 .000035  .000000
   0  94 2 0 3 0-3 1 1 0 0 2 .00009 .00009 .00009      .00000                   ?????
 183   0 3 0 3 0-2-1 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000
 184  95 3 0 3 0-2 0 0 0 0-1 .00009 .00009 .00009      .00000 .000092  .000000
 185   0 3 0 3 0-2 1 0 0 0-1 .00000 .00000 .00000      .00000 .000014  .000000
 186  96 2 0 3 0-1 0 0 0 0 0 .02997 .02995 .02995 MTM  .02995 .029926 -.000033
 187   0 4 0 3 0-1 0 0 0 0 0 .00000 .00000 .00000      .00000 .000021  .000000
 188  97 2 0 3 0-1 1 0 0 0 0 .01241 .01241 .01241      .01241 .012405 -.000010
 189   0 4 0 3 0-1 1 0 0 0 0 .00000 .00000 .00000      .00000 .000008  .000000
 190  98 2 0 3 0-1 2 0 0 0 0 .00115 .00117 .00120      .00117 .001161 -.000001
 191   0 2 0 3 0 0 0-1 0 0 0 .00000 .00000 .00000      .00000 .000026  .000000
 192  99 3 0 3 0 0 0 0 0 0-1 .00038 .00037 .00037      .00038 .000379  .000000
 193   0 2 0 3 0-1 3 0 0 0 2 .00000 .00000 .00000      .00000 .000019  .000000
 194 100 3 0 3 0 0 1 0 0 0-1 .00024 .00024 .00024      .00024 .000236  .000000
 195 101 3 0 3 0 0 2 0 0 0-1 .00005 .00005 .00005      .00000 .000046  .000000
 196 102 2 0 3 0 1 2 0 0 0 2 .00012 .00012 .00012      .00012 .000114  .000000
 197 103 2 0 3 0 1 3 0 0 0 2 .00005 .00005 .00005      .00000 .000047  .000000
 198 104 2 0 3 1-1 0-1 0 0 2 .00026 .00026 .00026      .00026 .000252  .000000
 199 105 2 0 3 1-1 1-1 0 0 2 .00009 .00009 .00009      .00000 .000088  .000000
 200   0 2 0 3 2-3 0 0 0 0 2 .00000 .00000 .00000      .00000 .000096  .000000
 201   0 2 0 3 2-3 1 0 0 0 2 .00000 .00000 .00000      .00000 .000037  .000000
 202   0 2 0 3 2-1 2 0 0 0 2 .00000 .00000 .00000      .00000 .000025  .000000
 203   0 2 0 3 2-1 3 0 0 0 2 .00000 .00000 .00000      .00000 .000010  .000000
 204   0 2 0 4-6 2 0 0 0 0 0 .00000 .00000 .00000      .00000 .000009  .000000
 205   0 2 0 4-5 0 0 1 0 0 0 .00000 .00000 .00000      .00000 .000027  .000000
 206   0 2 0 4-5 2 0 1 0 0 0 .00000 .00000 .00000      .00000 .000013  .000000
 207   0 2 0 4-4 0-1 0 0 0 0 .00000 .00000 .00000      .00000 .000044  .000000
 208 106 2 0 4-4 0 0 0 0 0 0 .00019 .00019 .00019      .00020 .000211  .000000
 209   0 2 0 4-4 0 0 2 0 0 0 .00000 .00000 .00000      .00000 .000016  .000000
 210   0 2 0 4-4 0 1 0 0 0 2 .00000 .00000 .00000      .00000 .000019  .000000
 211   0 3 0 4-4 1 0 0 0 0-1 .00000 .00000 .00000      .00000 .000005  .000000
 212 107 2 0 4-4 2 0 0 0 0 0 .00014 .00014 .00014      .00014 .000146  .000000
 213 108 2 0 4-4 2 1 0 0 0 0 .00007 .00007 .00007      .00000 .000060  .000000
 214   0 2 0 4-3-2 0 1 0 0 0 .00000 .00000 .00000      .00000 .000020  .000000
 215 109 2 0 4-3 0 0 1 0 0 0 .00033 .00033 .00033      .00032 .000327  .000000
 216 110 2 0 4-3 0 1 1 0 0 0 .00014 .00014 .00014      .00013 .000131  .000000
 217   0 2 0 4-2-2-1 0 0 0 0 .00000 .00000 .00000      .00000 .000033  .000000
 218 111 2 0 4-2-2 0 0 0 0 0 .00026 .00026 .00026      .00025 .000258  .000000
 219   0 2 0 4-2-2 1 0 0 0 2 .00000 .00000 .00000      .00000 .000017  .000000
 220   0 3 0 4-2-1 0 0 0 0-1 .00000 .00000 .00000      .00000 .000028  .000000
 221   0 3 0 4-2-1 1 0 0 0-1 .00000 .00000 .00000      .00000 .000004  .000000
 222 112 2 0 4-2 0 0 0 0 0 0 .00479 .00479 .00479 MSQM .00478 .004779 -.000005
 223 113 2 0 4-2 0 1 0 0 0 0 .00197 .00197 .00197      .00200 .001981 -.000001
 224 114 2 0 4-2 0 2 0 0 0 0 .00019 .00019 .00019      .00019 .000185  .000000
 225   0 3 0 4-2 1 0 0 0 0-1 .00000 .00000 .00000      .00000 .000019  .000000
 226   0 3 0 4-2 1 1 0 0 0-1 .00000 .00000 .00000      .00000 .000012  .000000
 227 115 2 0 4-1-2 0 1 0 0 0 .00007 .00007 .00007      .00000 .000066  .000000
 228   0 2 0 4-1-2 1 1 0 0 0 .00000 .00000 .00000      .00000 .000023  .000000
 229   0 2 0 4-1-1 0 0 0 0 2 .00000 .00000 .00000      .00000 .000041  .000000
 230   0 2 0 4-1-1 1 0 0 0 2 .00000 .00000 .00000      .00000 .000018  .000000
 231 116 2 0 4-1 0 0-1 0 0 2 .00007 .00007 .00007      .00000 .000068  .000000
 232   0 2 0 4-1 0 1-1 0 0 2 .00000 .00000 .00000      .00000 .000025  .000000
 233   0 2 0 4 0-4 0 0 0 0 0 .00000 .00000 .00000      .00000 .000043  .000000
 234   0 3 0 4 0-3 0 0 0 0-1 .00000 .00000 .00000      .00000 .000010  .000000
 235 117 2 0 4 0-2 0 0 0 0 0 .00397 .00397 .00397      .00396 .003960 -.000005
 236 118 2 0 4 0-2 1 0 0 0 0 .00164 .00164 .00164      .00165 .001642 -.000002
 237 119 2 0 4 0-2 2 0 0 0 0 .00014 .00014 .00016      .00016 .000158  .000000
 238 120 3 0 4 0-1 0 0 0 0-1 .00010 .00010 .00010      .00011 .000104  .000000
 239 121 3 0 4 0-1 1 0 0 0-1 .00006 .00006 .00006      .00000 .000065  .000000
 240   0 3 0 4 0-1 2 0 0 0-1 .00000 .00000 .00000      .00000 .000013  .000000
 241   0 4 0 4 0 0 0 0 0 0 0 .00000 .00000 .00000      .00000 .000005  .000000
 242   0 2 0 4 0 0 2 0 0 0 2 .00000 .00000 .00000      .00000 .000024  .000000
